-21.99100000000	-52.01570000000
-21.99130000000	-52.01510000000
-21.99150000000	-52.01450000000
-21.99180000000	-52.01410000000
-21.99210000000	-52.01350000000
-21.99200000000	-52.01100000000
-21.94090000000	-49.45200000000
-21.99230000000	-52.01290000000
-21.92110000000	-48.77440000000
-21.99260000000	-52.01230000000
-21.99280000000	-52.01150000000
-21.92260000000	-48.81680000000
-21.98000000000	-51.05410000000
-21.92520000000	-48.80950000000
-21.92920000000	-48.94390000000
-21.92640000000	-48.88240000000
-21.97890000000	-50.98650000000
-21.92850000000	-48.91520000000
-21.92330000000	-48.77620000000
-21.98010000000	-51.06090000000
-21.92370000000	-48.78640000000
-21.97520000000	-50.78100000000
-21.93090000000	-48.97030000000
-21.98160000000	-51.07470000000
-21.96610000000	-50.22360000000
-21.92760000000	-48.79140000000
-21.99610000000	-52.01050000000
-21.93180000000	-48.92400000000
-21.93030000000	-48.81260000000
-21.94470000000	-49.37220000000
-21.94310000000	-49.24030000000
-21.92880000000	-48.83580000000
-21.94140000000	-49.23550000000
-21.93280000000	-48.92960000000
-21.93060000000	-48.79060000000
-21.93060000000	-48.77700000000
-21.96960000000	-50.32820000000
-21.93190000000	-48.80910000000
-21.98800000000	-51.08920000000
-21.96220000000	-50.04810000000
-21.93010000000	-48.77390000000
-21.97360000000	-50.54220000000
-21.94880000000	-49.37770000000
-21.94920000000	-49.45130000000
-21.94580000000	-49.23040000000
-21.93610000000	-48.93790000000
-21.97450000000	-50.51850000000
-21.96450000000	-50.04150000000
-21.93870000000	-49.01750000000
-21.94840000000	-49.44730000000
-21.93620000000	-48.98730000000
-21.98680000000	-50.99800000000
-21.93300000000	-48.79010000000
-21.97210000000	-50.13270000000
-21.93490000000	-48.91780000000
-21.97420000000	-50.35240000000
-21.94930000000	-49.30090000000
-21.93530000000	-48.93880000000
-21.93810000000	-48.95110000000
-21.93800000000	-48.92250000000
-21.98270000000	-50.81920000000
-21.94150000000	-48.92570000000
-21.93690000000	-48.79220000000
-21.93560000000	-48.86540000000
-21.97740000000	-50.62330000000
-21.94720000000	-49.23380000000
-21.93840000000	-48.81300000000
-21.98020000000	-50.55540000000
-21.97690000000	-50.34980000000
-21.98840000000	-51.08570000000
-21.95490000000	-49.43710000000
-21.94180000000	-48.92750000000
-21.95130000000	-49.22950000000
-21.99050000000	-51.00780000000
-21.96820000000	-50.05610000000
-21.94960000000	-49.23730000000
-21.93710000000	-48.85310000000
-21.93900000000	-48.79660000000
-21.97530000000	-50.31860000000
-21.97560000000	-50.31710000000
-21.98040000000	-50.29480000000
-21.97120000000	-50.07210000000
-21.97970000000	-50.25620000000
-21.97210000000	-50.05000000000
-21.94070000000	-48.85040000000
-22.00230000000	-51.89570000000
-21.93780000000	-48.72600000000
-21.94180000000	-48.85300000000
